,종목명,현재가,전일대비,등락률
0,삼성전자,"72,700",하락 300,-0.41%
1,SK하이닉스,"155,400","상승 6,400",+4.30%
2,LG에너지솔루션,"407,500",상승 500,+0.12%
3,삼성바이오로직스,"819,000","하락 4,000",-0.49%
4,삼성전자우,"62,900",하락 200,-0.32%
5,현대차,"244,500","상승 5,000",+2.09%
6,기아,"119,900","상승 3,100",+2.65%
7,셀트리온,"176,200",하락 800,-0.45%
8,POSCO홀딩스,"435,500","하락 2,500",-0.57%
9,LG화학,"482,500","하락 17,500",-3.50%
10,NAVER,"200,500","하락 2,000",-0.99%
11,삼성물산,"165,500","상승 4,200",+2.60%
12,삼성SDI,"396,000","하락 4,000",-1.00%
13,KB금융,"65,300",상승 200,+0.31%
14,카카오,"57,800",하락 200,-0.34%
